,F,TSLA,GOOG,IBM,AAPL
2014-01-02,12.089,150.1,,157.6001,72.7741
2014-01-03,12.1438,149.56,,158.543,71.1756
2014-01-06,12.1986,147.0,,157.9993,71.5637
2014-01-07,12.042,149.36,,161.1508,71.0516
2014-01-08,12.1673,151.28,,159.6728,71.5019
2014-01-09,12.4022,147.53,,159.1716,70.5887
2014-01-10,12.5822,145.7199,,159.0696,70.1178
2014-01-13,12.6136,139.34,,156.4363,70.4849
2014-01-14,12.8406,161.27,,157.9314,71.8874
2014-01-15,13.0755,164.13,,159.4774,73.3307
2014-01-16,13.099,170.97,,160.3438,72.9215
2014-01-17,12.9346,170.01,,161.4736,71.1348
2014-01-21,12.8484,176.68,,160.0635,72.24
2014-01-22,12.9581,178.56,,154.8139,72.561
2014-01-23,12.8641,181.5,,155.2216,73.1754
2014-01-24,12.3943,174.6,,152.5968,71.8453
2014-01-27,12.3004,169.62,,151.1187,72.4281
2014-01-28,12.3082,178.38,,150.2268,66.6391
2014-01-29,12.0438,175.23,,149.8445,65.8826
2014-01-30,12.0359,182.84,,150.66,65.7553
2014-01-31,11.807,181.41,,150.0824,65.8629
2014-02-03,11.4834,177.11,,146.8714,65.9852
2014-02-04,11.736,178.73,,146.8204,66.9404
2014-02-05,11.6255,174.42,,148.0097,67.4404
2014-02-06,11.7202,178.38,,149.1883,67.8335
2014-02-07,11.8149,186.53,,151.3919,68.7825
2014-02-10,11.7123,196.56,,151.298,70.0147
2014-02-11,11.807,196.62,,153.4845,70.9372
2014-02-12,11.8386,195.32,,153.9457,70.9319
2014-02-13,11.9017,199.63,,155.3123,72.0583
2014-02-14,12.028,198.23,,156.8924,72.0
2014-02-18,12.1464,203.7,,156.4654,72.2647
2014-02-19,12.0359,193.64,,156.2604,71.1238
2014-02-20,12.0517,209.97,,157.3793,70.3006
2014-02-21,11.9649,209.6,,156.1237,69.5197
2014-02-24,11.9807,217.65,,156.6875,69.8241
2014-02-25,11.957,248.0,,156.4996,69.0975
2014-02-26,12.0438,253.0,,157.2085,68.4741
2014-02-27,12.1464,252.54,,158.2419,69.84
2014-02-28,12.1464,244.81,,158.1565,69.6507
2014-03-03,11.9965,250.56,,157.3793,69.8519
2014-03-04,12.1306,254.84,,159.2413,70.3125
2014-03-05,12.3358,252.66,,159.8391,70.4607
2014-03-06,12.3674,252.94,,160.2662,70.2476
2014-03-07,12.3279,246.21,,160.3004,70.2066
2014-03-10,12.2411,238.84,,159.1986,70.2701
2014-03-11,12.0754,234.41,,159.5146,70.9544
2014-03-12,12.1543,241.49,,159.0534,71.0232
2014-03-13,11.9807,237.79,,157.0718,70.2344
2014-03-14,11.9017,230.97,,155.6284,69.4456
2014-03-17,12.0596,233.98,,158.7032,69.7169
2014-03-18,12.2253,240.04,,159.5573,70.3337
2014-03-19,12.2174,235.84,,157.7636,70.3151
2014-03-20,12.2727,234.91,,160.4883,69.9763
2014-03-21,12.2095,228.89,,159.4377,70.5282
2014-03-24,12.1464,220.17,,160.7872,71.3647
2014-03-25,12.0991,220.44,,166.5867,72.1324
2014-03-26,12.0359,212.96,,164.5197,71.4428
2014-03-27,12.0359,207.32,558.46,162.1367,71.1357
2014-03-28,12.1938,212.37,559.99,162.6663,71.0563
2014-03-31,12.3121,208.45,556.97,164.4087,71.0404
2014-04-01,12.8804,216.97,567.16,166.1254,71.6903
2014-04-02,12.9909,230.29,567.0,165.314,71.8094
2014-04-03,12.9356,225.4,569.74,164.5795,71.3118
2014-04-04,12.7304,212.225,543.14,163.7937,70.3893
2014-04-07,12.5805,207.52,538.15,166.1425,69.2841
2014-04-08,12.7068,215.46,554.9,165.092,69.2801
2014-04-09,12.5016,216.93,564.14,167.9532,70.1907
2014-04-10,12.3358,204.19,540.95,167.1333,69.2854
2014-04-11,12.3358,203.78,530.6,166.7148,68.7732
2014-04-14,12.3911,198.09,532.52,168.9184,69.0472
2014-04-15,12.5016,193.91,536.44,168.2778,68.5548
2014-04-16,12.6831,199.11,556.54,167.7483,68.6938
2014-04-17,12.6278,198.12,536.1,162.2905,69.4786
2014-04-21,12.6121,204.38,528.62,164.2208,70.3032
2014-04-22,12.7068,218.64,534.81,164.1183,70.3732
2014-04-23,12.8094,207.99,526.94,163.7595,69.4535
2014-04-24,12.8804,207.86,525.16,162.4698,75.1474
2014-04-25,12.4542,199.85,516.18,161.9659,75.6994
2014-04-28,12.6042,198.51,517.15,164.9638,78.631
2014-04-29,12.7226,206.92,527.7,166.6464,78.3981
2014-04-30,12.8458,207.89,526.66,167.808,78.1016
2014-05-01,12.6549,207.73,531.35,165.2969,78.2856
2014-05-02,12.647,210.91,527.93,163.5118,78.4312
2014-05-05,12.5197,216.61,527.81,163.3581,79.5403
2014-05-06,12.3765,207.28,515.14,162.3075,78.6734
2014-05-07,12.297,201.35,509.96,162.6255,78.3981
2014-05-08,12.5754,178.59,511.0,162.2904,77.8854
2014-05-09,12.5436,182.26,518.73,163.2956,77.5612
2014-05-12,12.5993,184.67,529.92,165.4347,78.5265
