,sku,category,price
0,sku0000,Toilets,2085.11
1,sku0001,Misc,3601.62
2,sku0002,Misc,0.57
3,sku0003,Faucets,1511.66
4,sku0004,Toilets,733.78
5,sku0005,Showers,461.69
6,sku0006,Misc,931.3
7,sku0007,Faucets,1727.8
8,sku0008,Faucets,1983.84
9,sku0009,Toilets,2694.08
10,sku0010,Showers,2095.97
11,sku0011,Misc,3426.1
12,sku0012,Faucets,1022.26
13,sku0013,Misc,4390.59
14,sku0014,Misc,136.94
15,sku0015,Misc,3352.34
16,sku0016,Faucets,2086.52
17,sku0017,Faucets,2793.45
18,sku0018,Faucets,701.93
19,sku0019,Showers,990.51
20,sku0020,Misc,4003.72
21,sku0021,Misc,4841.31
22,sku0022,Misc,1567.12
23,sku0023,Faucets,3461.61
24,sku0024,Showers,4381.95
25,sku0025,Toilets,4473.03
26,sku0026,Showers,425.22
27,sku0027,Showers,195.27
28,sku0028,Faucets,849.15
29,sku0029,Toilets,4390.71
30,sku0030,Toilets,491.73
31,sku0031,Faucets,2105.54
32,sku0032,Showers,4789.45
33,sku0033,Misc,2665.83
34,sku0034,Showers,3459.39
35,sku0035,Faucets,1577.58
36,sku0036,Faucets,3432.5
37,sku0037,Faucets,4173.13
38,sku0038,Showers,91.44
39,sku0039,Misc,3750.72
40,sku0040,Faucets,4944.31
41,sku0041,Showers,3740.83
42,sku0042,Showers,1402.22
43,sku0043,Faucets,3946.4
44,sku0044,Toilets,516.13
45,sku0045,Showers,2239.47
46,sku0046,Toilets,4542.98
47,sku0047,Showers,1468.07
48,sku0048,Showers,1438.88
49,sku0049,Showers,650.14
50,sku0050,Faucets,96.83
51,sku0051,Toilets,3394.18
52,sku0052,Faucets,1058.14
53,sku0053,Misc,1327.73
54,sku0054,Toilets,2457.87
55,sku0055,Showers,266.81
56,sku0056,Toilets,2870.59
57,sku0057,Showers,733.64
58,sku0058,Misc,2946.53
59,sku0059,Showers,3498.79
60,sku0060,Showers,511.67
61,sku0061,Showers,2070.28
62,sku0062,Misc,3472.0
63,sku0063,Faucets,2070.9
64,sku0064,Faucets,249.77
65,sku0065,Misc,2679.48
66,sku0066,Misc,3318.97
67,sku0067,Misc,2574.45
68,sku0068,Toilets,4722.97
69,sku0069,Showers,2932.78
70,sku0070,Faucets,4517.01
71,sku0071,Showers,687.37
72,sku0072,Showers,696.38
73,sku0073,Misc,4036.96
74,sku0074,Toilets,1988.38
75,sku0075,Toilets,826.77
76,sku0076,Faucets,4637.54
77,sku0077,Misc,1738.83
78,sku0078,Misc,3754.06
79,sku0079,Showers,3629.99
80,sku0080,Showers,4416.53
81,sku0081,Toilets,3118.36
82,sku0082,Showers,3754.71
83,sku0083,Misc,1744.49
84,sku0084,Faucets,1349.64
85,sku0085,Faucets,4479.43
86,sku0086,Misc,2140.46
87,sku0087,Toilets,4824.2
88,sku0088,Faucets,3317.21
89,sku0089,Toilets,3108.48
90,sku0090,Toilets,573.73
91,sku0091,Toilets,4747.45
92,sku0092,Misc,2249.56
93,sku0093,Misc,2891.95
94,sku0094,Misc,2040.68
95,sku0095,Showers,1185.13
96,sku0096,Faucets,4516.9
97,sku0097,Misc,2868.4
98,sku0098,Faucets,14.35
99,sku0099,Showers,3085.72
100,sku0100,Toilets,1633.22
101,sku0101,Misc,2635.29
102,sku0102,Misc,4429.71
103,sku0103,Toilets,1786.35
104,sku0104,Misc,4542.68
105,sku0105,Showers,3116.8
106,sku0106,Faucets,79.11
107,sku0107,Faucets,4647.19
108,sku0108,Faucets,3454.48
109,sku0109,Toilets,4986.61
110,sku0110,Faucets,861.7
111,sku0111,Misc,685.68
112,sku0112,Misc,4662.98
113,sku0113,Toilets,3484.09
114,sku0114,Toilets,330.0
115,sku0115,Toilets,3777.32
116,sku0116,Showers,3769.38
117,sku0117,Showers,4615.12
118,sku0118,Misc,3557.62
119,sku0119,Showers,621.35
120,sku0120,Misc,99.4
121,sku0121,Faucets,131.05
122,sku0122,Toilets,141.53
123,sku0123,Faucets,1231.06
124,sku0124,Misc,4300.14
125,sku0125,Toilets,2694.16
126,sku0126,Toilets,2764.11
127,sku0127,Faucets,4210.15
128,sku0128,Showers,620.87
129,sku0129,Misc,1395.92
130,sku0130,Toilets,2928.8
131,sku0131,Faucets,4847.98
132,sku0132,Showers,2805.15
133,sku0133,Toilets,93.24
134,sku0134,Misc,4003.16
135,sku0135,Faucets,1164.87
136,sku0136,Misc,4035.53
137,sku0137,Faucets,1939.3
138,sku0138,Toilets,4317.71
139,sku0139,Toilets,3735.61
140,sku0140,Showers,2781.2
141,sku0141,Showers,682.28
142,sku0142,Misc,299.59
143,sku0143,Misc,606.72
144,sku0144,Faucets,222.76
145,sku0145,Faucets,537.47
146,sku0146,Misc,1128.55
147,sku0147,Faucets,3564.94
148,sku0148,Toilets,2798.58
149,sku0149,Faucets,62.78
150,sku0150,Faucets,359.87
151,sku0151,Showers,4836.38
152,sku0152,Showers,2840.5
153,sku0153,Toilets,1016.47
154,sku0154,Toilets,1261.63
