Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2009-06-11 13:45:00,OTHER OFFENSES,CONSPIRACY,Thursday,TARAVAL,JUVENILE BOOKED,19TH AV / OCEAN AV,-122.47495446910901,37.7324560758435
2005-10-17 12:00:00,ASSAULT,THREATENING PHONE CALL(S),Monday,TARAVAL,NONE,1500 Block of SLOAT BL,-122.489713969124,37.7339497680852
2012-09-20 20:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,MISSION,NONE,1800 Block of FOLSOM ST,-122.41560549623699,37.767717752066496
2006-03-25 15:28:00,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,RICHMOND,"ARREST, BOOKED",800 Block of 28TH AV,-122.48753388881399,37.7733355136954
2013-10-01 00:33:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Tuesday,MISSION,"ARREST, BOOKED",1200 Block of CHURCH ST,-122.42746497646499,37.7512958665215
2009-04-15 07:00:00,ASSAULT,BATTERY,Wednesday,CENTRAL,NONE,MONTGOMERY ST / VALLEJO ST,-122.404058530625,37.7991726841597
2011-09-08 15:20:00,NON-CRIMINAL,LOST PROPERTY,Thursday,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
2012-08-10 20:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE,2800 Block of CALIFORNIA ST,-122.441301747588,37.7880135813236
2004-10-31 21:15:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,MISSION,NONE,SANCHEZ ST / HILL ST,-122.43003756981199,37.755555019140104
2008-10-01 04:26:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Wednesday,PARK,"ARREST, BOOKED",DUBOCE AV / NOE ST,-122.433575097282,37.769176747627704
2007-01-24 21:10:00,OTHER OFFENSES,HARASSING PHONE CALLS,Wednesday,SOUTHERN,NONE,1000 Block of BRYANT ST,-122.407283947064,37.7723542491213
2015-03-06 23:15:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,TARAVAL,NONE,14TH AV / RIVERA ST,-122.47051218611601,37.7470179441251
2003-08-09 01:00:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Saturday,TENDERLOIN,NONE,HYDE ST / MARKET ST,-122.41474383539,37.7787192627661
2008-05-12 15:40:00,WARRANTS,WARRANT ARREST,Monday,SOUTHERN,"ARREST, BOOKED",0 Block of 3RD ST,-122.403413040525,37.7872743866375
2007-07-27 12:00:00,NON-CRIMINAL,FOUND PROPERTY,Friday,NORTHERN,UNFOUNDED,700 Block of OAK ST,-122.431651599382,37.773811966469495
2011-01-28 22:33:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,TENDERLOIN,NONE,300 Block of EDDY ST,-122.413753670487,37.78373004094
2012-05-29 12:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,CENTRAL,NONE,0 Block of DERBY ST,-122.411267315317,37.787203188405
2006-10-18 15:04:00,LARCENY/THEFT,ATTEMPTED GRAND THEFT PICKPOCKET,Wednesday,CENTRAL,"ARREST, BOOKED",COLUMBUS AV / UNION ST,-122.41020837051799,37.800314824105705
2011-09-22 17:48:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,CENTRAL,NONE,VANNESS AV / GEARY ST,-122.421395819115,37.7856843389472
2003-08-08 02:00:00,VEHICLE THEFT,STOLEN TRUCK,Friday,RICHMOND,NONE,MCALLISTER ST / ARGUELLO BL,-122.458435447862,37.7752381220714
2013-09-04 12:08:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,SOUTHERN,"ARREST, CITED",500 Block of MARKET ST,-122.40019476894399,37.7900527936016
2012-05-19 16:06:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,BAYVIEW,PSYCHOPATHIC CASE,800 Block of WISCONSIN ST,-122.39879923221301,37.7565633329089
2006-10-30 16:15:00,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,RICHMOND,NONE,GEARY BL / COOK ST,-122.452144682873,37.7818526961918
2004-01-19 07:08:00,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,NORTHERN,"ARREST, BOOKED",LYON ST / LOMBARD ST,-122.447305498131,37.7984582269101
2004-10-17 13:20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,RICHMOND,"ARREST, CITED",10TH AV / GEARY BL,-122.46856416240801,37.78082151951921
2009-09-05 18:00:00,NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2012-04-19 20:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE,17TH ST / ARKANSAS ST,-122.39870544240401,37.765013394552
2006-07-01 07:14:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Saturday,INGLESIDE,NONE,BEACON ST / DIAMOND ST,-122.435508856119,37.7425931407376
2010-12-04 20:00:00,VEHICLE THEFT,STOLEN TRUCK,Saturday,MISSION,NONE,1300 Block of NATOMA ST,-122.41840887121599,37.7675484464646
2013-04-21 11:00:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,NORTHERN,NONE,900 Block of GOLDEN GATE AV,-122.425378507859,37.7803461169179
2006-02-21 15:35:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MISSION ST,-122.41368110949499,37.77712148854621
2012-12-30 14:20:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,CENTRAL,NONE,COLUMBUS AV / STOCKTON ST,-122.40901700761299,37.7994880717633
2013-07-22 16:01:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.413893155951,37.782346520672995
2003-12-08 09:25:00,WARRANTS,WARRANT ARREST,Monday,CENTRAL,"ARREST, BOOKED",0 Block of MILLER PL,-122.40898644657601,37.7932445345579
2008-05-04 14:24:00,WARRANTS,WARRANT ARREST,Sunday,PARK,"ARREST, BOOKED",HAIGHT ST / COLE ST,-122.450709919144,37.7695262270693
2013-09-05 18:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,FOLSOM ST / HAWTHORNE ST,-122.397816589532,37.784668065393795
2006-01-29 11:20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,MERRIE WY / POINTLOBOS AV,-122.511421514546,37.779405868183
2008-08-06 01:35:00,OTHER OFFENSES,CONSPIRACY,Wednesday,INGLESIDE,JUVENILE BOOKED,3700 Block of MISSION ST,-122.424283926896,37.7363849370532
2012-09-09 15:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Sunday,TARAVAL,NONE,2600 Block of 35TH AV,-122.49259142732201,37.7378009102224
2004-12-07 13:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,NORTHERN,NONE,700 Block of MCALLISTER ST,-122.42521142911,37.7795180588339
2012-05-06 15:20:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,BAYVIEW,"ARREST, CITED",JENNINGS ST / UNDERWOOD AV,-122.38811267232401,37.727668992390896
2008-07-21 11:49:00,ASSAULT,BATTERY,Monday,NORTHERN,NONE,2100 Block of FILLMORE ST,-122.43386682459999,37.78938922271779
2010-09-20 21:56:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Monday,SOUTHERN,PSYCHOPATHIC CASE,1300 Block of MISSION ST,-122.415757039196,37.7754692820041
2015-05-01 13:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,MINNA ST / 6TH ST,-122.408162953857,37.780534538527796
2005-08-25 10:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE,1500 Block of POWELL ST,-122.41048367328301,37.7988554028895
2009-08-04 09:00:00,FORGERY/COUNTERFEITING,"FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS",Tuesday,TARAVAL,NONE,2200 Block of 20TH AV,-122.47702758096099,37.74578011155671
2007-12-01 20:45:00,ASSAULT,ATTEMPTED SIMPLE ASSAULT,Saturday,SOUTHERN,NONE,7TH ST / HOWARD ST,-122.409391574893,37.7779765037999
2003-10-03 14:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,INGLESIDE,NONE,0 Block of TEDDY AV,-122.40333580109301,37.713340858391796
2010-09-08 16:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,HYDE ST / WASHINGTON ST,-122.41794044472,37.793681908576296
2004-09-27 18:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,NORTHERN,NONE,POLK ST / ELLIS ST,-122.41936629480401,37.7840280451803
2015-05-01 09:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Friday,NORTHERN,NONE,400 Block of PAGE ST,-122.428178458093,37.773295406746
2005-08-27 12:30:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Saturday,INGLESIDE,"ARREST, BOOKED",900 Block of GIRARD ST,-122.401758171192,37.7207363160972
2010-04-06 06:30:00,NON-CRIMINAL,FOUND PROPERTY,Tuesday,MISSION,NONE,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147
2013-05-31 04:10:00,ARSON,ARSON OF A VEHICLE,Friday,BAYVIEW,NONE,JAMESTOWN AV / GILROY ST,-122.389440639195,37.715558495062496
2011-09-11 23:30:00,OTHER OFFENSES,PROBATION VIOLATION,Sunday,CENTRAL,"ARREST, BOOKED",LARKIN ST / GREENWICH ST,-122.421064321955,37.8008334432403
2014-12-14 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,NORTHERN,NONE,WEBSTER ST / WASHINGTON ST,-122.43274153640101,37.7918003261017
2008-06-26 11:00:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Thursday,BAYVIEW,NONE,23RD ST / CAROLINA ST,-122.399659400982,37.7546888658696
2010-06-20 22:21:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,MISSION,"ARREST, BOOKED",800 Block of SOUTH VAN NESS AV,-122.417016663517,37.7595460924587
2012-07-27 13:00:00,OTHER OFFENSES,EVADING PAYMENT OF RAILROAD FARE,Friday,SOUTHERN,"ARREST, CITED",0 Block of 11TH ST,-122.41781753149999,37.7749687560149
2007-02-05 15:45:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TENDERLOIN,NONE,400 Block of TURK ST,-122.416349428183,37.7825569563078
2008-06-27 14:01:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,NORTHERN,NONE,600 Block of HAYES ST,-122.427093375316,37.7763027391045
2011-04-06 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.42799115191099,37.78495312416121
2009-06-08 21:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,500 Block of 2ND ST,-122.392273065499,37.78208052405461
2007-12-14 02:14:00,ASSAULT,THREATS AGAINST LIFE,Friday,BAYVIEW,NONE,1000 Block of HOLLISTER AV,-122.39146877152201,37.71926858093661
2005-02-22 19:17:00,WEAPON LAWS,DISCHARGE FIREARM AT AN INHABITED DWELLING,Tuesday,MISSION,NONE,900 Block of FLORIDA ST,-122.410379498133,37.756729101756896
2009-12-21 11:20:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.41251534135598,37.78047774805079
2012-08-21 23:47:00,ROBBERY,"ROBBERY, ARMED WITH A GUN",Tuesday,SOUTHERN,"ARREST, BOOKED",5TH ST / SHIPLEY ST,-122.402842748428,37.7798294192767
2010-10-05 10:35:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,SOUTHERN,NONE,100 Block of 6TH ST,-122.407975093043,37.780309908281396
2006-07-16 08:30:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,PARK,NONE,0 Block of NORTHRIDGE DR,-122.375605171962,37.730721521570295
2004-05-28 00:05:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,NORTHERN,"ARREST, BOOKED",VAN NESS AV / SUTTER ST,-122.421762501799,37.7875490094886
2008-05-27 23:10:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,NORTHERN,NONE,LARKIN ST / OLIVE ST,-122.4178091031,37.7847098968616
2009-10-14 18:30:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,PARK,NONE,1800 Block of WALLER ST,-122.45433010539601,37.7681530111159
2006-01-12 14:20:00,DRUG/NARCOTIC,SALE OF HEROIN,Thursday,MISSION,"ARREST, BOOKED",16TH ST / WIESE ST,-122.42058044011101,37.7649968622937
2010-12-02 14:30:00,LARCENY/THEFT,"LICENSE PLATE OR TAB, THEFT OF",Thursday,BAYVIEW,NONE,1600 Block of LASALLE AV,-122.390244392372,37.737317401142796
2008-01-08 13:00:00,FRAUD,"FORGERY, CREDIT CARD",Tuesday,MISSION,NONE,100 Block of GUERRERO ST,-122.424378432729,37.768870839886105
2003-03-23 00:01:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Sunday,MISSION,NONE,2800 Block of MISSION ST,-122.41829609443701,37.7514284856786
2008-08-20 09:15:00,WEAPON LAWS,POSS OF LOADED FIREARM,Wednesday,BAYVIEW,"ARREST, BOOKED",1000 Block of PALOU AV,-122.380818341183,37.728187027980496
2004-07-21 06:55:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,22ND ST / PENNSYLVANIA AV,-122.393123359916,37.7576508232164
2008-05-16 07:31:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,"ARREST, CITED",MISSION ST / CESAR CHAVEZ ST,-122.418221946229,37.7481664083985
2009-07-10 02:10:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,SOUTHERN,NONE,6TH ST / MISSION ST,-122.40871060666299,37.78097067220529
2006-06-02 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,MISSION,"ARREST, BOOKED",FLORIDA ST / 20TH ST,-122.410761834615,37.75913519665311
2010-01-17 02:25:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Sunday,MISSION,NONE,BARTLETT ST / 21ST ST,-122.420013069308,37.75696860922921
2009-07-23 02:25:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,NORTHERN,"ARREST, BOOKED",OFARRELL ST / LARKIN ST,-122.417903977564,37.785167087551706
2013-09-04 21:00:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,CENTRAL,NONE,2000 Block of STOCKTON ST,-122.40991466057301,37.8044090751347
2003-01-21 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,INGLESIDE,NONE,0 Block of STONEYFORD AV,-122.42094545956999,37.7302535674133
2013-05-17 08:24:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,TENDERLOIN,"ARREST, CITED",200 Block of TAYLOR ST,-122.410979175673,37.784625434984
2012-04-04 21:12:00,ASSAULT,BATTERY,Wednesday,RICHMOND,"ARREST, BOOKED",500 Block of LAUREL ST,-122.45011177298001,37.78644778266671
2008-01-22 10:12:00,OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Tuesday,TENDERLOIN,"ARREST, CITED",0 Block of UNITEDNATIONS PZ,-122.41431222924,37.77983391835871
2004-06-07 09:00:00,FRAUD,FRAUDULENT CREDIT APPLICATION,Monday,CENTRAL,NONE,400 Block of BUSH ST,-122.405173680156,37.790560143321
2005-10-20 02:50:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,TARAVAL,NONE,500 Block of JOHNMUIR DR,-122.49206801733999,37.714361549875605
2004-08-21 17:50:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Saturday,PARK,"ARREST, BOOKED",HAIGHT ST / MASONIC AV,-122.44534678657301,37.7702081959223
2005-05-17 18:10:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,1200 Block of CAROLINA ST,-122.398693515758,37.7526333171608
2004-06-26 19:00:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Saturday,TARAVAL,NONE,2400 Block of 33RD AV,-122.490556613379,37.74144116748621
2003-04-16 18:30:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Wednesday,INGLESIDE,UNFOUNDED,3300 Block of MISSION ST,-122.421128029505,37.7435550542265
2009-09-19 14:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE,1000 Block of REVERE AV,-122.37994231141899,37.7257994410324
2011-03-27 19:41:00,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,SOUTHERN,"ARREST, BOOKED",100 Block of 4TH ST,-122.4039407276,37.784300707234394
2007-01-28 13:55:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,SOUTHERN,NONE,KING ST / 3RD ST,-122.391845617192,37.778124778322
2004-10-25 15:00:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of STOCKTON ST,-122.40642786236,37.787109454290004
2003-05-14 09:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,TARAVAL,NONE,19TH AV / HOLLOWAY AV,-122.475222189871,37.7210571460706
2003-08-22 00:28:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Friday,PARK,NONE,800 Block of SCOTT ST,-122.436672076756,37.777537548997294
2014-06-12 10:20:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / LEAVENWORTH ST,-122.413869632554,37.7818621883021
2003-10-18 15:47:00,OTHER OFFENSES,RESISTING ARREST,Saturday,BAYVIEW,"ARREST, CITED",600 Block of WOOLSEY ST,-122.408065794552,37.7238643449588
2012-11-13 01:10:00,WEAPON LAWS,"SWITCHBLADE KNIFE, POSSESSION",Tuesday,NORTHERN,"ARREST, BOOKED",VANNESS AV / HEMLOCK ST,-122.42166371443301,37.787075403993
2009-09-17 07:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / JONES ST,-122.412784096502,37.78486569395261
2003-05-28 19:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.432914603466,37.7843533426344
2009-10-04 12:00:00,MISSING PERSON,MISSING ADULT,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-10-04 12:55:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,TENDERLOIN,"ARREST, CITED",500 Block of LEAVENWORTH ST,-122.41464540990101,37.7860688364633
2006-04-18 10:30:00,ASSAULT,BATTERY,Tuesday,BAYVIEW,NONE,500 Block of VERMONT ST,-122.404245150171,37.7627389119051
2004-04-17 07:35:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,NORTHERN,PSYCHOPATHIC CASE,0 Block of FELL ST,-122.418500584434,37.7764380944444
